count_of_questioners,iteration,distractors,memory_recall_scores,word_overlapping_score,thread_maintenence_score
3,0,0,1.0,0.9149864024864024,0.9824561403508771
3,0,1,1.0,0.9633699633699634,0.9594961240310077
3,0,0,1.0,0.8228368853368854,0.9777777777777777
3,0,1,1.0,0.9217074592074592,0.9607503607503608
3,0,0,1.0,0.7469988344988345,0.9690267235926628
3,0,1,1.0,0.900487012987013,0.962601450836745
3,0,0,1.0,0.910289479039479,0.9761600681140911
3,0,1,1.0,0.9152208902208901,0.9523719489686591
3,1,0,1.0,0.9199446386946386,0.989247311827957
3,1,1,1.0,0.913067488067488,0.9736842105263158
3,0,0,1.0,0.8928252303252303,0.914944013781223
3,0,1,1.0,0.8776365995115994,0.9851851851851852
3,0,0,1.0,0.923096348096348,0.9307783719548426,0.6666666666666666
3,0,1,1.0,0.9091200466200466,0.9736486486486486,1.0
